col_no,pos_fr_rd,treatment,time_point,date,action,selection_to_retest mites,varroa_retest_notes,reorg_or_removed_box,numerical_trt,gross_wt_kgs,gross_wt_lbs,bip_style_fob,fob_covered_at_all,top_of_box_bip_style_fob,hobo_no,hobo_sensor_propolis_30_Sep,rh_sensor_propolis,logger_connection_issue,end_of_file_issue,any_hobo_issue,water_amt_0-3,oct1_feeder_type,cups_fed,aec_towel_perc_remaining,time,q_status,q_event,brd_pattern,remove,notes,col_hist,location_on_9-19,date_brd_inspection_wax_virus,date_brd_exam,viral_sample_tf,wax_sample_tf,alc_sample_tf,alc_jar_no,mites_recov_3_washes,extra_mites_by_2-clear_rinses,mites_recov_total,gm_wt_100_bees,gm_wt_total_bee_sample,est_bee_num_by_wt,perc_phoretic_mites_by_weight,date_brd_pattern_assessed,disorders,dr_brood_exam_tf,dr_infested_num,dr_exhumed_num,wk_brood_exam_tf,infested_in_first_200_cells_num,extra_wk_infested_num,extra_wk_exhumed_num,dwv_num_sides_obs,dwv_tf,cdb_num_sides_obs,prev_bees_tot_sides,prev_cap_brd_tot_sides,prev_dr_capbrd_tot_sides,prev_honey_tot_sides,prev_pollen_tot_sides,prev_wk_capbrd_tot_sides,cap_brd_tot_sides_rm,dr_capbrd_tot_sides_rm,honey_tot_sides_removed,pollen_tot_sides_removed,bees_tot_sides,cap_brd_tot_sides,dr_capbrd_tot_sides,honey_tot_sides,pollen_tot_sides,wk_capbrd_tot_sides,est_sides_brood_incl_open,est_sides_used_space,est_sides_free_space,9.23_honey_addition_sides,9.23_pollen_addition_sides,bees_num,dr_capbrd_cells_num,revised_honey_tot_sides,revised_pollen_tot_sides,wrk_capbrd_cells_num,phoretic_mites_num_estimate,dr_cells_infested_estimate,wk_cells_infested_estimate,mites_total_estimate,sides_honey_short_of_9 (2.2 lbs/side),target_weight_lbs,lbs_to_feed,gallons_to_feed_total_wrong_estimate,gals_fed_round 1,gals to feed round 2,lbs_fed,sides_added,new_sides_total,sides_honey_short_of_12
D10,1,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,12:20,QS-MP,,3,,"Supersedure in progress. We left the newly marked QS-MP queen, and stored the older QS-B queen for future use",Richland pkg,Richland,,,T,T,T,14,17,0,17,20.5038,65.0843,317.4,5.4,,,,NA,NA,T,23,,,7,1,2,,,,,,,,,,,7.325,5.75,0.175,6.775,0.55,5.575,,,,,,8899.88,377.30,6.78,0.55,18642.80,476.64,,2143.92,2620.56,,,,,,,,,,
D20,2,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,12:33,QS-B,,3,,,Richland pkg,Richland,,,T,T,T,15,26,1,27,18.1805,56.6555,311.6,8.3,,,,NA,NA,T,28,,,3,1,1,,,,,,,,,,,8.15,5.6,0,7.85,1.25,5.6,,,,,,9902.25,0.00,7.85,1.25,18726.40,826.17,,2621.70,3447.87,,,,,,,,,,
D15,3,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,12:44,QS-B,,3,,,Richland pkg,Richland,,,T,T,T,16,20,0,20,18.0171,65.7496,364.9,5.5,,,,NA,NA,T,29,,,0,1,2,,,,,,,,,,,8.915,5.825,0.225,9.9,0.75,5.6,,,,,,10831.73,485.10,9.90,0.75,18726.40,593.63,,2715.33,3308.96,,,,,,,,,,
D16,4,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,12:55,QR,,3,,,Richland pkg,Richland,,,T,T,T,17,17,0,17,15.8095,60.4005,382.1,4.4,,,,24,48,T,27,,,3,1,2,,,,,,,,,,,10.09,7.15,0.175,6.2,0.55,6.975,,,,,,12259.35,377.30,6.20,0.55,23324.40,545.50,188.65,3148.79,3882.94,,,,,,,,,,
D5,5,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,13:05,QR,,2.75,,,Richland pkg,Richland,,,T,T,T,18,52,0,52,20.3816,64.9533,318.7,16.3,,,,37,50,T,42,,,0,1,0,,,,,,,,,,,8.325,6.3,0.15,7.9,2.7,6.15,,,,,,10114.88,323.40,7.90,2.70,20565.60,1650.44,239.32,4318.78,6208.54,,,,,,,,,,
D6,6,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,13:14,QS-B,,2.75,,,Richland pkg,Richland,,,T,T,T,19,16,0,16,19.3211,63.2581,327.4,4.9,,,,23,50,T,22,,,1,1,1,,,,,,,,,,,8.725,6.75,0.05,8,0.725,6.7,,,,,,10600.88,107.80,8.00,0.73,22404.80,518.06,49.59,2464.53,3032.17,,,,,,,,,,
9,7,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,13:27,QR,,3,,,Richland pkg,Richland,,,T,T,T,20,2,0,2,16.563,50.8402,307.0,0.7,23-Sep,,,NA,NA,T,16,,,0,0,2,,,,,,,,,,,14,6.675,0,8.05,2.1,6.675,,,,,,17010.00,0.00,8.05,2.10,22321.20,110.83,,1785.70,1896.53,,,,,,,,,,
D7,8,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,8:25,QR,,1.75,,,Richland pkg,Richland,,,T,T,T,1,22,0,22,15.3871,53.1955,345.7,6.4,,,,31,50,T,62,,,1,1,1,,,,,,,,,,,5.725,3.575,0.15,5.3,4.35,3.425,,,,,,6955.88,323.40,5.30,4.35,11453.20,442.65,200.51,3550.49,4193.65,,,,,,,,,,
D8,9,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,9:07,QS-B,,3.5,,,Richland pkg,Richland,,,T,T,T,3,35,0,35,18.2633,58.8445,322.2,10.9,,,,35,50,T,22,,,1,1,2,,,,,,,,,,,11.686,6.4,0.367,5.85,0.125,6.033,,,,,,14198.49,791.25,5.85,0.13,20174.35,1542.35,553.88,2219.18,4315.41,,,,,,,,,,
RC1,10,Apivar,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,8:20,QR,,2.0,,,Christian Control,Bee Lab,,,T,T,T,BL RC1,97,3,100,16.6891,71.4522,428.1,22.7,,,,NA,NA,T,58,,,1,1,1,,,,,,,,,,,6.209,4.475,0,7.825,2.175,4.475,,,,,,7543.94,0.00,7.83,2.18,14964.40,1709.18,,4339.68,6048.85,,,,,,,,,,
D11,11,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,9:35,QS-B,,3,,,Richland pkg,Richland,,,T,T,T,5,65,0,65,15.4714,57.8095,373.7,17.4,,,,25,50,T,38,,,1,1,0,,,,,,,,,,,7.775,6.65,0.125,10.15,0.3,6.525,,,,,,9446.63,269.50,10.15,0.30,21819.60,1643.31,134.75,4145.72,5923.79,,,,,,,,,,
D25,12,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,9:45,QS-B,,2,,,Richland pkg,Richland,,,T,T,T,6,29,1,30,17.6949,63.2824,357.6,8.1,23-Sep,,,NA,NA,T,16,,,1,0,3,,,,,,,,,,,6.225,5.525,0.025,9.3,0.15,5.5,,,,,,7563.38,53.90,9.30,0.15,18392.00,613.31,,1471.36,2084.67,,,,,,,,,,
D13,13,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,16:51,QR,,2.5,,,Richland pkg,Richland,,,T,T,T,37,69,1,70,19.0629,50.1439,263.0,26.2,23-Sep,,,NA,NA,T,44,,,1,1,0,,,,,,,,,,,4.825,5.125,0,9.3,1.35,5.125,,,,,,5862.38,0.00,9.30,1.35,17138.00,1537.78,,3770.36,5308.14,,,,,,,,,,
N5,14,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,16:43,QR,,2.5,,Maybe reverse boxes,Richland pkg,Richland,,,T,T,T,36,14,0,14,20.5346,58.3936,284.4,4.9,,,,NA,NA,T,7,,,2,0,2,,,,,,,,,,,4.75,4.325,0.025,7.25,0.15,4.3,,,,,,5771.25,53.90,7.25,0.15,14379.20,284.13,,503.27,787.40,,,,,,,,,,
N68,15,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,16:30,QS-B,,2.0,,,Richland pkg,Richland,,,T,T,T,35,29,0,29,20.3075,53.0916,261.4,11.1,,,,NA,NA,T,25,,,5,1,9,,,,,,,,,,,9.05,3.65,0.025,7.5,0.425,3.625,,,,,,10995.75,53.90,7.50,0.43,12122.00,1219.70,,1515.25,2734.95,,,,,,,,,,
D3,16,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,16:15,QS-P,,2.0,,,Richland pkg,Richland,,,T,T,T,34,36,1,37,21.7063,63.0765,290.6,12.4,,,,39,50,T,70,,,3,0,3,,,,,,,,,,,5.575,2.325,0.175,6.975,1.175,2.15,,,,,,6773.63,377.30,6.98,1.18,7189.60,839.15,294.29,2516.36,3649.81,,,,,,,,,,
2,17,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,8:10,QS-MB,,4.0,,,Christian Control,Bee Lab,,,T,T,T,BL 2,9,1,10,15.6747,62.1218,396.3,2.3,,,,NA,NA,T,2,2,160,5,0,2,,,,,,,,,,,9.325,4.725,0.15,11.75,2.35,4.575,,,,,,11329.88,323.40,11.75,2.35,15298.80,257.29,,152.99,410.28,,,,,,,,,,
D17,18,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,15:54,QR,,2,,,Richland pkg,Richland,,,T,T,T,32,11,0,11,18.9776,66.6172,351.0,3.1,23-Sep,,,NA,NA,T,10,,,2,1,0,,,,,,,,,,,13.55,8.35,0,8.1,1.05,8.35,,,,,,16463.25,0.00,8.10,1.05,27922.40,515.90,,1396.12,1912.02,,,,,,,,,,
D19,19,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,15:45,QS-MP,,2,,,Richland pkg,Richland,,,T,T,T,31,37,2,39,15.8652,56.476,356.0,10.4,23-Sep,,,NA,NA,T,30,,,4,1,2,,,,,,,,,,,9.775,6.1,0.05,9.025,0.25,6.05,,,,,,11876.63,107.80,9.03,0.25,20231.20,1234.46,,3034.68,4269.14,,,,,,,,,,
8,20,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,,QR,,3.0,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT 8,27,1,28,20.2984,62.4097,307.5,8.8,23-Sep,,,NA,NA,T,8,,,0,0,0,,,,,,,,,,,9.825,7.175,0,11.3,NA,7.175,,,,-1.2,,11937.38,0.00,10.10,NA,23993.20,1048.29,,959.73,2008.02,,,,,,,,,,
L75,21,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,8:45,QS-B,,3.0,,,Christian Control,Bee Lab,,,T,T,T,BL L75,31,0,31,17.4355,71.9223,412.5,7.5,,,,NA,NA,T,18,,,0,1,0,,,,,,,,,,,9.6,4.675,0.025,12.8,1.8,4.65,,,,,,11664.00,53.90,12.80,1.80,15549.60,876.56,,1399.46,2276.02,,,,,,,,,,
D21,22,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,13:53,QR,,3.5,,,Richland pkg,Richland,,,T,T,T,22,9,0,9,18.8025,64.61083,343.6,2.6,,,,NA,NA,T,11,,,0,1,0,,,,,,,,,,,11,6.9,0.075,7.35,0.425,6.825,,,,,,13365.00,161.70,7.35,0.43,22822.80,350.04,,1255.25,1605.30,,,,,,,,,,
D22,23,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,14:06,QR,,2,,,Richland pkg,Richland,,,T,T,T,23,71,2,73,20.8757,65.4778,313.7,22.6,,,,37,50,T,46,,,2,1,3,,,,,,,,,,,4.915,4.95,0.1,9.4,0.85,4.85,,,,,,5971.73,215.60,9.40,0.85,16218.40,1351.78,159.54,3730.23,5241.55,,,,,,,,,,
D23,24,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,14:19,QS-B,,2,,,Richland pkg,Richland,,,T,T,T,24,75,1,76,18.6742,58.7265,314.5,23.8,,,,NA,NA,T,36,,,4,1,0,,,,,,,,,,,4.25,4.55,0.025,9.25,0.825,4.525,,,,,,5163.75,53.90,9.25,0.83,15131.60,1231.50,,2723.69,3955.19,,,,,,,,,,
C12,25,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,9:00,QS-P,,2.0,,Empty upstairs,Christian Control,Bee Lab,,,T,T,T,BL C12,26,0,26,18.729,53.6641,286.5,9.1,,,,NA,NA,T,44,,,1,1,1,,,,,,,,,,,8.25,6.025,0,5.575,1.075,6.025,,,,,,10023.75,0.00,5.58,1.08,20147.60,909.57,,4432.47,5342.04,,,,,,,,,,
D24,26,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,14:57,QS-B,,2.5,,,Richland pkg,Richland,,,T,T,T,25,56,2,58,20.2293,65.5706,324.1,17.3,23-Sep,,,NA,NA,T,34,,,0,1,0,,,,,,,,,,,6.9,5.55,0.125,6.3,0.6,5.425,,,,,,8383.50,269.50,6.30,0.60,18141.20,1448.39,,3084.00,4532.39,,,,,,,,,,
D12,27,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,14:45,QS-B,,2.75,,,Richland pkg,Richland,,,T,T,T,26,70,0,70,18.5655,64.9027,349.6,20.0,,,,7,50,T,43,,,8,1,0,,,,,,,,,,,5.125,5.725,0.225,11.85,2.4,5.5,,,,,,6226.88,485.10,11.85,2.40,18392.00,1246.84,67.91,3954.28,5269.04,,,,,,,,,,
D33,28,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,14:32,QS-B,,1.5,,,Richland pkg,Richland,,,T,T,T,27,59,0,59,19.0401,55.5721,291.9,20.2,,,,NA,NA,T,71,,,5,1,1,,,,,,,,,,,4.4,3.95,0.025,10.85,0.95,3.925,,,,,,5346.00,53.90,10.85,0.95,13125.20,1080.67,,4659.45,5740.12,,,,,,,,,,
D27,29,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,10:05,QS-B,,3.5,,,Richland pkg,Richland,,,T,T,T,7,53,1,54,21.0773,55.4914,263.3,20.1,,,,24,50,T,59,,,11,1,1,,,,,,,,,,,12.05,5.925,0.425,3.625,0.75,5.5,,,,1.3,-0.2,14640.75,916.30,4.93,0.55,18392.00,2947.33,439.82,5425.64,8812.79,,,,,,,,,,
D28,30,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,10:15,QS-B,,3.5,,Defensive,Richland pkg,Richland,,,T,T,T,8,51,0,51,20.162,66.3358,329.0,15.5,,,,40,50,T,39,,,1,1,2,,,,,,,,,,,11.05,5.525,0.325,7.45,0.9,5.2,,,,,,13425.75,700.70,7.45,0.90,17388.80,2081.11,560.56,3390.82,6032.48,,,,,,,,,,
D30,31,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,10:46,QS-B,,2.5,,Viral vial died before going into dry ice. Iced before end of next hive though,Richland pkg,Richland,,,T,T,T,10,15,0,15,20.8407,64.3862,308.9,4.9,,,,26,50,T,16,,,0,1,0,,,,,,,,,,,13.74,6.15,0.125,5.625,0.25,6.025,,,,,,16694.10,269.50,5.63,0.25,20147.60,810.54,140.14,1611.81,2562.49,,,,,,,,,,
C33,32,Apivar,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,10:00,QS-P,,2.5,,"""Queen cells - cut""",Christian Control,Bee Lab,,,T,T,T,BL C33,65,1,66,16.4935,54.9596,333.2,19.5,23-Sep,,,25,30,T,85,,,0,1,0,,,,,,,,,,,10.55,2.675,0.05,10.5,1.9,2.625,,,,,,12818.25,107.80,10.50,1.90,8778.00,2500.41,89.83,3730.65,6320.89,,,,,,,,,,
C6,33,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,11:35,QR,,2.0,,,Christian Control,Bee Lab,,,T,T,T,BL C6,82,2,84,16.4362,57.0758,347.3,23.6,,,,NA,NA,T,42,,,3,1,0,,,,,,,,,,,7.15,5.075,0.05,8.05,0.675,5.025,,,,,,8687.25,107.80,8.05,0.68,16803.60,2051.38,,3528.76,5580.13,,,,,,,,,,
BC15,34,Apivar,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,9:45,QR,,3.0,,,Christian Control,Bee Lab,,,T,T,T,BL BC15,50,1,51,17.4452,53.0224,303.9,16.5,,,,NA,NA,T,68,,,1,1,2,,,,,,,,,,,10.7,5.7,0.15,11.55,2.65,5.55,,,,,,13000.50,323.40,11.55,2.65,18559.20,2138.68,,6310.13,8448.81,,,,,,,,,,
N42,35,AEC,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,,,,,,9:28,QR,,2.5,,,Christian Control,Bee Lab,,,T,T,T,BL N42,56,0,56,16.8541,69.0004,409.4,13.7,23-Sep,,,NA,NA,T,57,,,0,1,0,,,,,,,,,,,11.275,4.475,0.025,10.575,0.425,4.45,,,,,,13699.13,53.90,10.58,0.43,14880.80,1873.85,,4241.03,6114.88,,,,,,,,,,
