"","col_no","trt","time_point","date","days","q_status","q_event","pattern","notes","est_bee_num_by_wt","est_bee_num_by_wt_floor","mites_recov_3_washes","bees_without_mites","phor2","infest_200","dwv_num_sides_obs","dwv_tf","cdb_num_sides_obs","bees","wk_cells","dr_capbrd_cells_num","phoretic_mites_num_estimate","wk_cells_infested_estimate","dr_cells_infested_estimate","mites_total_estimate","cap_brd_indiv","indiv_total","indiv_adult_pct","indiv_capbrd_pct","bees_frames","wk_frames","honey_frames","pollen_frames","fob_at_all","fob_top_bip","pre_pattern","pre_phor2","pre_infest_200","pre_mites_tot","pre_bees","pre_bees_frames","pre_wk_cells","pre_wk_frames","pre_honey_frames","pre_pollen_frames"
"1","D10","Apiguard_Api",1,"18-Sep","0","QS-MP","",3,"Supersedure in progress. We left the newly marked QS-MP queen, and stored the older QS-B queen for future use",317.4,317,17,300,5.35601764335224,23,7,1,2,8899.88,18642.8,377.3,476,2143,NA,2620,19020.1,27919.98,31.8763838656045,68.1236161343955,3.6625,2.7875,3.39,0.275,NA,NA,3,5.35601764335224,23,2620,8899.88,3.6625,18642.8,2.7875,3.39,0.275
"2","D20","Apivar",1,"18-Sep","0","QS-B","",3,"",311.6,311,26,285,8.34403080872914,28,3,1,1,9902.25,18726.4,0,826,2621,NA,3447,18726.4,28628.65,34.5886026759907,65.4113973240093,4.075,2.8,3.925,0.625,NA,NA,3,8.34403080872914,28,3447,9902.25,4.075,18726.4,2.8,3.925,0.625
"3","D15","AEC",1,"18-Sep","0","QS-B","",3,"",364.9,364,20,344,5.48095368594135,29,0,1,2,10831.73,18726.4,485.1,593,2715,NA,3308,19211.5,30043.23,36.0538131219579,63.9461868780421,4.4575,2.8,4.95,0.375,NA,NA,3,5.48095368594135,29,3308,10831.73,4.4575,18726.4,2.8,4.95,0.375
"4","D16","AEC",1,"18-Sep","0","QR","",3,"",382.1,382,17,365,4.44909709500131,27,3,1,2,12259.35,23324.4,377.3,545,3148,188,3882,23701.7,35961.05,34.0906341722503,65.9093658277497,5.045,3.4875,3.1,0.275,NA,NA,3,4.44909709500131,27,3882,12259.35,5.045,23324.4,3.4875,3.1,0.275
"5","D5","Apivar",1,"18-Sep","0","QR","",2.75,"",318.7,318,52,266,16.3162849074365,42,0,1,0,10114.88,20565.6,323.4,1650,4318,239,6208,20889,31003.88,32.6245618290356,67.3754381709644,4.1625,3.075,3.95,1.35,NA,NA,2.75,16.3162849074365,42,6208,10114.88,4.1625,20565.6,3.075,3.95,1.35
"6","D6","Apiguard_Api",1,"18-Sep","0","QS-B","",2.75,"",327.4,327,16,311,4.88698839340257,22,1,1,1,10600.88,22404.8,107.8,518,2464,49,3032,22512.6,33113.48,32.013790154342,67.986209845658,4.3625,3.35,4,0.365,NA,NA,2.75,4.88698839340257,22,3032,10600.88,4.3625,22404.8,3.35,4,0.365
"7","9","Apivar",1,"18-Sep","0","QR","",3,"",307,307,2,305,0.651465798045603,16,0,0,2,17010,22321.2,0,110,1785,NA,1896,22321.2,39331.2,43.2481083719795,56.7518916280205,7,3.3375,4.025,1.05,NA,NA,3,0.651465798045603,16,1896,17010,7,22321.2,3.3375,4.025,1.05
"8","D7","Apivar",1,"18-Sep","0","QR","",1.75,"",345.7,345,22,323,6.36389933468325,62,1,1,1,6955.88,11453.2,323.4,442,3550,200,4193,11776.6,18732.48,37.1327234834896,62.8672765165104,2.8625,1.7125,2.65,2.175,NA,NA,1.75,6.36389933468325,62,4193,6955.88,2.8625,11453.2,1.7125,2.65,2.175
"9","D8","Apivar",1,"18-Sep","0","QS-B","",3.5,"",322.2,322,35,287,10.862818125388,22,1,1,2,14198.49,20174.35,791.25,1542,2219,553,4315,20965.6,35164.09,40.3778115685633,59.6221884314367,5.843,3.0165,2.925,0.065,NA,NA,3.5,10.862818125388,22,4315,14198.49,5.843,20174.35,3.0165,2.925,0.065
"10","RC1","Apivar",1,"19-Sep","0","QR","",2,"",428.1,428,97,331,22.6582574164915,58,1,1,1,7543.94,14964.4,0,1709,4339,NA,6048,14964.4,22508.34,33.5161988845024,66.4838011154976,3.1045,2.2375,3.915,1.09,NA,NA,2,22.6582574164915,58,6048,7543.94,3.1045,14964.4,2.2375,3.915,1.09
"11","D11","Apivar",1,"18-Sep","0","QS-B","",3,"",373.7,373,65,308,17.3936312550174,38,1,1,0,9446.63,21819.6,269.5,1643,4145,134,5923,22089.1,31535.73,29.9553236915714,70.0446763084286,3.8875,3.2625,5.075,0.15,NA,NA,3,17.3936312550174,38,5923,9446.63,3.8875,21819.6,3.2625,5.075,0.15
"12","D25","Apivar",1,"18-Sep","0","QS-B","",2,"",357.6,357,29,328,8.10961968680089,16,1,0,3,7563.38,18392,53.9,613,1471,NA,2084,18445.9,26009.28,29.0795439166328,70.9204560833672,3.1125,2.75,4.65,0.075,NA,NA,2,8.10961968680089,16,2084,7563.38,3.1125,18392,2.75,4.65,0.075
"13","D13","Apiguard_Api",1,"18-Sep","0","QR","",2.5,"",263,263,69,194,26.2357414448669,44,1,1,0,5862.38,17138,0,1537,3770,NA,5308,17138,23000.38,25.488187586466,74.511812413534,2.4125,2.5625,4.65,0.675,NA,NA,2.5,26.2357414448669,44,5308,5862.38,2.4125,17138,2.5625,4.65,0.675
"14","N5","AEC",1,"18-Sep","0","QR","",2.5,"Maybe reverse boxes",284.4,284,14,270,4.92264416315049,7,2,0,2,5771.25,14379.2,53.9,284,503,NA,787,14433.1,20204.35,28.5643933113414,71.4356066886586,2.375,2.15,3.625,0.075,NA,NA,2.5,4.92264416315049,7,787,5771.25,2.375,14379.2,2.15,3.625,0.075
"15","N68","AEC",1,"18-Sep","0","QS-B","",2,"",261.4,261,29,232,11.0941086457536,25,5,1,9,10995.75,12122,53.9,1219,1515,NA,2734,12175.9,23171.65,47.4534614496594,52.5465385503406,4.525,1.8125,3.75,0.215,NA,NA,2,11.0941086457536,25,2734,10995.75,4.525,12122,1.8125,3.75,0.215
"16","D3","Apiguard_Api",1,"18-Sep","0","QS-P","",2,"",290.6,290,36,254,12.388162422574,70,3,0,3,6773.63,7189.6,377.3,839,2516,294,3649,7566.9,14340.53,47.2341677748312,52.7658322251688,2.7875,1.075,3.49,0.59,NA,NA,2,12.388162422574,70,3649,6773.63,2.7875,7189.6,1.075,3.49,0.59
"17","2","Apiguard_Api",1,"19-Sep","0","QS-MB","",4,"",396.3,396,9,387,2.27100681302044,2,5,0,2,11329.88,15298.8,323.4,257,152,NA,410,15622.2,26952.08,42.0371266336401,57.9628733663599,4.6625,2.2875,5.875,1.175,NA,NA,4,2.27100681302044,2,410,11329.88,4.6625,15298.8,2.2875,5.875,1.175
