"","trt","days","yvar","SE","df","LCL","UCL","tvar","xvar"
"1","Apivar",0,2.41043582594335,0.138738676267633,120.822396592685,2.13576194428584,2.68510970760087,"Apivar","0"
"2","Apiguard_Api",0,2.67453183592993,0.12843940112434,120.836032478325,2.42024867895253,2.92881499290732,"Apiguard_Api","0"
"3","AEC",0,2.67666727604471,0.124208221514922,120.60757931116,2.4307562589354,2.92257829315403,"AEC","0"
"4","Apivar",10,1.12918582594335,0.138738676267633,120.822396592677,0.854511944285837,1.40385970760087,"Apivar","10"
"5","Apiguard_Api",10,0.730781835929927,0.12843940112434,120.836032478324,0.476498678952532,0.985064992907322,"Apiguard_Api","10"
"6","AEC",10,1.21833394271138,0.124208221514922,120.607579311159,0.972422925602068,1.46424495982069,"AEC","10"
"7","Apivar",21,1.23335249261002,0.138738676267633,120.822396592678,0.958678610952503,1.50802637426754,"Apivar","21"
"8","Apiguard_Api",21,1.33078183592993,0.12843940112434,120.836032478324,1.07649867895253,1.58506499290732,"Apiguard_Api","21"
"9","AEC",21,1.39916727604471,0.124208221514922,120.607579311159,1.1532562589354,1.64507829315403,"AEC","21"
"10","Apivar",42,0.664871254378041,0.150490130442399,130.874096025294,0.367163208696934,0.962579300059148,"Apivar","42"
"11","Apiguard_Api",42,0.598076491187788,0.137615879666852,129.683473200054,0.325813688498766,0.870339293876811,"Apiguard_Api","42"
"12","AEC",42,0.843333942711381,0.124208221514922,120.607579311159,0.597422925602067,1.08924495982069,"AEC","42"
